"Top 10 Model Usage","Input Tokens (Context)","Output Tokens (Generated)"
"openai/gpt-oss-120b","581,991,035,603","69,823,305,523"
"google/gemma-4-31B-it","305,097,721,372","139,909,403,045"
"Qwen/Qwen3-VL-235B-A22B-Instruct","252,299,362,661","2,506,282,983"
"Qwen/Qwen3.5-397B-A17B-FP8","185,392,972,434","72,214,577,833"
"google/gemma-4-26B-A4B-it","112,014,037,550","16,872,099,656"
"Qwen/Qwen3.5-122B-A10B","87,216,522,178","41,888,115,144"
"gcp/google/gemini-3.1-flash-lite-preview","61,793,069,244","7,206,950,344"
"Qwen/Qwen3-VL-235B-A22B-Thinking-FP8","52,889,942,762","9,031,174,934"
"Qwen/Qwen3.6-35B-A3B","46,115,903,437","4,269,353,359"
"Qwen/Qwen3-VL-30B-A3B-Thinking","42,718,861,428","7,201,483,397"
Other,"394,226,701,751","189,813,318,234"
